id,add,datetime,time_casa,time_fora,bethouse1,mercado1,valor1,odd1,aposta1,resultado1,bethouse2,mercado2,valor2,odd2,aposta2,resultado2,bethouse3,mercado3,valor3,odd3,aposta3,resultado3,lucro_estimado,lucro_per_estimado,lucroReal,lucro_perReal,esporte
37,2023-05-02 13:07:42,2023-05-03 13:00:00,Al Hidd,Al-Shabbab,BetFair,DNB1,,2.2,15.92,return,Pinnacle,AH2,0.0,2.05,17.08,return,,,,0.0,0.0,,,,0.0,0.0,
38,2023-05-02 13:09:19,2023-05-02 13:00:00,Lillestrom SK 2,Gjellerasen,Pinnacle,AH2,0.0,2.33,17.33,loss,BetFair,DNB1,,1.9,21.25,win,,,,0.0,0.0,,,,1.8,0.046656298600311,
39,2023-05-02 15:52:13,2023-05-04 15:00:00,Sloane Stephens,Freya Christie,VBet,AH2,3.5,2.05,30.2,loss,FavBet,AH1,-3.5,2.2,28.12,win,,,,0.0,0.0,,,,3.54,0.0606995884773662,
40,2023-05-02 15:54:31,2023-05-07 15:00:00,La Luz,Danubio,VBet,TO1,1.0,2.12,10.2,win,FavBet,TU,1.0,2.09,10.32,loss,,,,0.0,0.0,,,,1.1,0.053606237816764137,
41,2023-05-02 16:05:58,2023-05-02 22:30:00,Guerreros de Oaxaca,El Aguila de Veracruz,FavBet,TO,10.5,1.89,12.64,loss,Pinnacle,TU,10.5,2.4,9.95,win,,,,0.0,0.0,,,,1.29,0.0571049136786188,
42,2023-05-02 16:33:25,2023-05-04 05:00:00,Sloane Stephens,Freya Christie,VBet,TO,17.0,1.96,29.5,loss,FavBet,TU,17.0,2.4,24.1,win,,,,0.0,0.0,,,,4.24,0.0791044776119403,
43,2023-05-02 16:38:22,2023-05-04 05:00:00,Sloane Stephens,Freya Christie,VBet,to,18.0,2.43,30.0,loss,FavBet,TU,18.0,1.86,39.2,win,,,,0.0,0.0,,,,3.71,0.053612716763005774,
44,2023-05-02 16:40:36,2023-05-04 05:00:00,Sloane Stephens,Freya Christie,VBet,TO,17.0,1.96,30.45,loss,FavBet,TU,17.0,2.3,25.96,win,,,,0.0,0.0,,,,3.3,0.058500265910299595,
45,2023-05-02 16:57:18,2023-05-03 21:00:00,Sport Recife,Ceara SC,BetFair,Q2,,3.7,8.05,win,VBet,Q1,,2.02,14.75,loss,,,,0.0,0.0,,Football,,6.99,0.30657894736842106,
46,2023-05-02 18:04:38,2023-05-03 07:00:00,SC Dnipro-1,Metalist Kharkiv,FavBet,AH1,-3.0,1.89,12.64,win,Pinnacle,AH2,3.0,2.63,9.08,loss,,,,0.0,0.0,,Esporte,,2.17,0.0999079189686924,
47,2023-05-02 18:06:52,2023-05-03 11:00:00,Matheus Pucinelli De Almeida,Francisco Comesana,VBet,2,,1.87,31.0,loss,FavBet,1,,2.39,24.28,win,,,,0.0,0.0,,Tennis,,2.75,0.0497467438494934,
48,2023-05-02 18:35:45,2023-05-03 07:00:00,SC Dnipro-1,Metalist Kharkiv,FavBet,AH1,-3.5,2.05,10.71,win,Pinnacle,AH2,3.5,2.25,9.78,loss,,,,0.0,0.0,,Esporte,,1.47,0.0717423133235724,
49,2023-05-02 20:38:35,2023-05-03 05:15:00,Valentine FC (Res),Weston Workers (Res),VBet,1X,,6.4,4.6,loss,BetFair,2,,1.26,24.0,win,,,,0.0,0.0,,Football,,1.64,0.0573426573426573,
